qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_Perhaps_I_m_getting_|나는 아마도 운이 없는 것 같소...
qstr_Retirement_is_starti|은퇴라는 단어가 점점 끌리기 시작하는군.
qstr_No_matter!_I_will_pe|아무 문제 없소! 나는 좀 더 노력해 보겠소!
qstr_What_did_I_do_to_des|내가 이 것을 받고 싶다면 무엇을 해야만 하겠소?
qstr_I_suppose_it_ll_make|내 생각에는 그건 좋은 이야기인 것 같소...
qstr_Player_retreats_from|당신은 전투에서 후퇴했습니다.
qstr_You_have_{reg22}_hea|You have {reg22} head of cattle grazing here.
qstr_{s8}_of_the_{s9}|{s9}의 {s8}
qstr__As_you_reach_the_se| 이 요새와 주변의 땅들은 당신에게 속해 있습니다.
qstr__As_you_reach_the_set| 당신은 이 요새와 주변의 땅들이 {s7}에게 속해 있음을 알아야만 합니다.
qstr__You_are_greeted_by_| 이 도시와 주변의 땅들은 당신에게 속해 있습니다.
qstr__You_are_greeted_by_m| 당신은 이 도시와 주변의 땅들이 {s7}에게 속해 있음을 알아야만 합니다.
qstr_The_rulers_of_the_re|이 지역의 지배자들은 군주의 위엄에 대한 당신의 도전에 대해 근심스러워 합니다.
qstr_You_make_sure_they_s|당신은 당신의 병력들에게 {s11}의 수비대에게 보여주기 위해 그들의 영주를 데려오라 명령했고, 당신의 부하들은 포로로 잡힌 그를 끌고 나왔다.
qstr_The_{reg6?town_s:for|{reg6?도시:요새}의 식량은 {reg3}일을 더 버틸 수 있을만큼 비축되어 있습니다.
qstr_The_{reg6?town_s:fort|{reg6?도시:요새}의 식량은 고갈되었고, {reg6?도시:요새}를 수비하는 병사들은 굶주리고 있습니다.
qstr_>>Your_men_are_build|>>당신의 병력들은 {s4}을(를) 포위하기 위해 작은 진영들과 초소들을 지어 포위망을 형성하고 있습니다.^^
qstr_>>Your_perimeter_con|>>포위망이 완성되었습니다. 당신은 {s4}을(를) 완벽하게 통제하고 있고, 그 곳의 포위망이 사람이나 보급품이 들어오거나 나가지 못하게 막고 있습니다.^이 포위망은 당신이 공성중인 지역의 지휘관과 항복 협상을 진행할 때, 특히 도움이 될 것입니다.^^
qstr_>>Your_men_are_ready|>>당신의 병력들이 전투를 시작할 준비를 마쳤습니다.^^
qstr_>>As_a_disciplined_a|>>당신의 훈련된 병사들이 하수도, 화장실, 그리고 매 주 목욕을 할 수 있는 목욕탕을 만들었습니다. 이러한 위생 시설은 당신의 진영에서 질병이 도는 것을 방지할 수 있을 것입니다.^^
qstr_>>Your_men_have_fini|>>당신의 병력들이 화살 방패의 제작을 끝냈습니다. 지금부터 당신은 선봉대가 돌격할 때 피해를 줄이기 위해 이것을 사용할 수 있으며, 당신의 선봉대는 만반의 준비를 마쳤다.^^
qstr_>>Your_men_have_finis|>>당신의 병력들이 사다리의 제작을 끝냈습니다.^^
qstr_>>Your_attempt_to_fi|>>당신의 병력들이 수비대 안에서 호응할 내부 협력자를 찾는 데 실패했습니다.^^
qstr_>>You_have_found_a_t|>>당신의 병력들이 {s7}의 수비대 안에서 호응할 내부 협력자를 찾는 데 성공했습니다. 이것은 적의 수비대가 항복하는 데 유리한 요소가 될 것입니다.^^
qstr_>>Your_attempt_to_ha|>>당신의 병력들은 {s4} 내부로 침투하는 데 실패했습니다.^^
qstr_>>Your_men_have_succ|>>당신의 병력들이 {s4} 내부로 침투하는 데 성공했고, 적들에게 타격을 입힐 수 있었습니다.^^
qstr_>>You_ve_managed_to_|>>당신의 병력들이 인근 농장과 농장의 작물들을 약탈했습니다.^^
qstr_>>You_have_sent_men_|>>당신은 {s4}의 내부 협력자를 찾기 위해 당신의 병력들을 보냈습니다.^^
qstr_>>You_have_found_a_tr|>>당신의 병력들이 {s4}의 수비대 안에서 호응할 내부 협력자를 찾는 데 성공했습니다. 이것은 적의 수비대가 항복하는 데 유리한 요소가 될 것입니다.^^
qstr_>>Your_men_are_takin|>>당신의 명령을 받고 병력들이 {s4} 인근 농장과 농장의 작물들을 약탈했습니다. 이것은 적의 수비대가 항복하는 데 유리한 요소가 될 것입니다.^^
qstr_>>You_have_sent_men_t|>>당신은 병력들에게 {s4} 내부에 침투하도록 명령했습니다.^^
qstr_>>Your_camp_smells_h|>>당신의 진영에서는 끔찍한 냄새가 납니다, 바닥은 축축하고, 당신의 진영의 막사 사이에서 쥐들이 돌아다니고 있습니다.^^
qstr_>>As_a_disciplined_ar|>>당신의 훈련된 병사들이 하수도, 화장실, 그리고 매 주 목욕을 할 수 있는 목욕탕을 만들었습니다. 이러한 위생 시설은 당신의 진영에서 질병이 도는 것을 방지할 수 있을 것입니다.^^
qstr_>>Your_men_are_diggi|>>당신의 병력들은 하루 일과를 마치고 위생 시설들을 이용했고, 이것은 당신의 진영에서 질병이 도는 것을 방지할 수 있을 것입니다.^^
qstr_You_need_to_have_more|당신은 이 작업을 수행하기 위해 250명 이상의 병력을 필요로 합니다.
qstr_You_need_to_have_at_|당신이 내부 협력자를 찾기 위한 병력을 보내기 위해서는 40명 이상의 병력을 필요로 합니다.
qstr_You_need_more_than_3|당신은 최소 30명 이상의 병력을 필요로 합니다, 아니면 일부 병력은 안전하지 않은 당신의 진영을 떠날 것입니다.
qstr_You_need_to_have_more_|당신은 이 작업을 수행하기 위해 10명 이상의 병력을 필요로 합니다.
qstr_You_need_to_have_more_t|당신이 이 명령을 내리기 위해서는 80명 이상의 병력을 필요로 합니다.
qstr_>>The_assault_equipm|>>공격에 필요한 준비가 끝났습니다. 당신의 병력들은 명령만을 기다리고 있습니다.^^
qstr_>>You_look_at_{s4}._|>>당신은 {s4}을(를) 바라보았습니다. 당신의 병력들이 공격 명령을 기다리는 동안 그들은 침묵했습니다. 당신의 근육은 긴장해 있었고, 전투의 열기로 달아올랐습니다, 하지만 당신의 마음은 차가웠고 아드레날린이 혈관 속을 돌기 시작했습니다.^당신의 병사 중 한 명이 깊은 한숨을 쉬었습니다. '이 냄새는 뭐지?', 그는 물었습니다, '그건 영광의 향기다.'. '당신은 그걸 잡을 준비가 되었나?'.^^
qstr_>>The_steel_of_the_w|>>당신의 무기는 반짝였고, 군기는 바람에 나부꼈습니다. 어떤 이는 속삭이듯 기도하며 그의 삶이 여기서 끝나지 않게 해 달라고 신에게 기도하고 있습니다. 당신 앞에는 오직 두 가지만이 놓여 있습니다: 승리, 또는 죽음.^ 전쟁, 전쟁이란 바뀌지 않는 법입니다.^^
qstr_>>Winter_is_the_wors|>>겨울은 전투를 하기에는 그리 좋은 시기가 아닙니다, 하지만 당신과 당신의 병력들은 이 추운 계절에 이 곳에 와 있었고, {s4}을(를) 점령할 준비가 되었습니다. 많은 사람들이 당신을 무모하다거나, 아니면 미친 놈이라 말합니다. 그러나, 그들은 아무도 모를 것입니다. 당신이 유일한 브리튼왈다가 될 사람이라는 것을.^^
qstr_>>It_s_summer_and_ho|>>시기는 여름이었고, 매우 더웠습니다. 그러나 이 순간만큼은 당신은 아무런 더위도 느낄 수 없었습니다. 항상, 전장에서는 당신이 겪었던 모든 기억들이 주마등처럼 지나가고는 합니다. 당신은 스스로의 마음을 다잡고 전투를 준비했다, 만약 최악의 경우가 온다 할 지라도 당신이 죽을 수는 없지 않습니까?^^
qstr_>>You_look_at_{s4}._Y|>>당신은 {s4}을(를) 바라보았습니다. 당신의 병력들이 공격 명령을 기다리는 동안 그들은 침묵했습니다. 당신의 근육은 긴장해 있었고, 전투의 열기로 달아올랐습니다, 하지만 당신의 마음은 차가웠고 아드레날린이 혈관 속을 돌기 시작했습니다.^당신의 병사 중 한 명이 깊은 한숨을 쉬었습니다. '이 냄새는 뭐지?', 그는 물었습니다, '그건 영광의 향기다.'. '당신은 그걸 잡을 준비가 되었나?'.^^
qstr_>>Your_men_have_finish|>>당신의 병력들이 화살 방패의 제작을 끝냈습니다. 지금부터 당신은 선봉대가 돌격할 때 피해를 줄이기 위해 이것을 사용할 수 있으며, 당신의 선봉대는 만반의 준비를 마쳤습니다.^^
qstr_>>Your_men_are_buildi|>>당신의 병력들이 화살 방패를 제작하고 있습니다.^^
qstr_>>Your_men_have_finishe|>>당신의 병력들이 사다리의 제작을 끝냈습니다.^^
qstr_>>Your_men_are_buildin|>>당신의 병력들이 사다리를 제작하고 있습니다.^^
qstr_{s4}_lost_between_40|{s4}은(는) 40%에서 50%가량의 식량 비축분을 잃었습니다.
qstr_{s4}_lost_between_50|{s4}은(는) 50%에서 60%가량의 식량 비축분을 잃었습니다.
qstr_{s4}_lost_between_30|{s4}은(는) 30%에서 40%가량의 식량 비축분을 잃었습니다.
qstr_{s4}_lost_between_10|{s4}은(는) 10%에서 20%가량의 식량 비축분을 잃었습니다.
qstr_{s4}_have_between_10|{s4}의 수비병 중 10%에서 30%가량이 질병을 앓고 있습니다.
qstr_It_should_have_food_|이곳에는 {reg6}일을 견딜 수 있는 식량이 비축되어 있습니다.^방어중인 병사는 {reg5}명 입니다.
qstr_^^The_following_armi|^^당신을 따라오는 병력:^
qstr_^{s3}_with_{reg1}_tr|^{s3}, {reg1}명.
qstr_^^Commander_this_tow|^^Commander, this town is one big rock. Many before us have fled the place before a single blow was exchanged, so we must keep morale up among the men. The path to the main gate is formidably narrow and steep, but if we set up the camp and build a battering ram, we can break down the wall at the back entrance of the town. When the wall is down, we can charge in without losing breath. The steps up to the town center are fewer there.{***}
qstr_^^Alt_Clut_the_rock_|^^Alt Clut, the rock high over the Clyde. This is the mightiest fortress of the northern Britons. Nobody has ever taken it by siege in your day. Controlling the mouth of the Clyde, it was where King Riderch Hael fought the Bernicians and the Picts.{***}
qstr_^^This_formidable_st|^^This formidable stronghold is the jewel of the Dumnonian kingdom. Here many ships from Mediterannea arrive full of wine and luxuries. Legend says the warlord, Arthur, was born here.{***}
qstr_^^Dun_Taruo_the_fort|^^Dun Taruo, the fortress of the bull. This place seems like the work of giants, and for centuries, the Picts have known its reputation.{***}
qstr_^^The_seat_of_the_br|^^The seat of the brave Goutodin warriors. From here, they launched their attacks against the Bernicians, and their heroic end will never be forgotten. You can almost smell their courage from here, even though Goutodin disappeared long ago.{***}
qstr_^^This_place_is_just|^^이 장소는 그저 당신이 정복해 주기만을 기다리고 있습니다.
qstr_As_a_last_defensive_|저항을 계속하려는 최후의 노력으로, 당신은 중앙 회당에서 항전을 시작했습니다. 당신과 당신의 몇 안되는 병사들은 이 곳에서 최후의 항전을 진행할 것입니다. 만약 당신이 패배한다면, 당신은 더 이상 뒤로 물러설 곳이 없을 것입니다.
qstr_You_ve_been_driven_a|당신은 성벽 위에서 후퇴했습니다. 그리고 지금 공격자들이 거리로 쏟아져 들어오고 있습니다, 만약 당신이 그들을 격퇴한다면, 당신은 다시금 성벽으로 돌아가 수성을 계속할 수 있을 것입니다.
qstr_You_ve_breached_the_|당신은 성벽을 넘어 도시 내부로 진입하는 데 성공했습니다, 하지만 고집스러운 적들이 거리에서 당신의 병력에게 저항을 계속하고 있습니다! 당신은 도시의 중심부를 공격하기 위해 그들을 처리해야만 할 것입니다.
qstr_The_town_centre_is_y|도시의 중심부는 당신에게 점령되었습니다, 하지만 남은 적들이 회당으로 도망쳤습니다. 만약 당신이 그들을 격퇴한다면 완벽하게 승리할 수 있을 것입니다.
qstr_The_remaining_defend|남은 병력들은 내성으로 후퇴해 최후의 저항을 준비하고 있습니다. 당신은 그 곳에서 저항하는 적의 병력을 모두 처단해야만 합니다.
qstr_{s10}^^|
qstr_{s10}You_may_decide_|
qstr_{s10}You_can_allow_s|
qstr_However_since_you_ar|당신은 {s9}에 충성 서약을 하지 않았습니다. 따라서 당신은 이 {reg8?도시:요새}의 주인이 될 기회를 가질 수 없을 것입니다.
qstr_The_enemy_has_been_f|적군은 퇴각했습니다. 그러나, 이 전투에서 패배했음에도 불구하고 그들은 공성을 포기하지 않을 것입니다.
qstr_As_you_approach_you_|당신이 다가서자, 경비병은 당신이 그의 {reg59?여왕:왕}임을 알아보았고, 그는 환영하며 문을 열어주었습니다.
qstr_As_you_approach_you_a|당신이 다가서자, 경비병은 당신이 그의 영주임을 알아보았고, 그는 환영하며 문을 열어주었습니다.
qstr_^Christians_aren_t_w|^이 곳에서 기독교도는 환영받지 못합니다.
qstr_^Christians_are_acce|^이 곳에서 기독교는 용인되고 있습니다.
qstr_^Christians_are_in_t|^이 곳에서 기독교는 널리 받아들여지고 있습니다.
qstr_^Christians_are_domi|^이 곳에서 기독교는 주된 신앙입니다.
qstr_^This_village_is_a_b|^이 마을은 당신이 믿는 신앙의 보루입니다.
qstr_^Rumor_has_it_that_C|^기독 신앙이 거짓된 신앙이라는 소문이 퍼지고 있고, 여전히 많은 사람들은 고대 신들을 숭배하고 있습니다.
qstr_^Pagans_aren_t_welco|^이 곳에서 이교도는 환영받지 못합니다.
qstr_^Pagans_are_accepted|^이 곳에서 이교는 용인되고 있습니다.
qstr_^Pagans_are_in_the_m|^이 곳에서 이교는 널리 받아들여지고 있습니다.
qstr_^Pagans_are_dominant|^이 곳에서 이교는 주된 신앙입니다.
qstr_^Rumor_has_it_that_o|^이교 신앙이 거짓된 신앙이라는 소문이 퍼지고 있고, 여전히 많은 사람들은 기독 신앙을 가지고 있습니다.
qstr_This_village_and_the|이 마을과 주변의 땅들은 당신에게 속해 있습니다.
qstr_You_remember_that_th|당신은 이 마을과 주변의 땅들이 {s7}에게 속해 있음을 알아야만 합니다.
qstr_These_lands_belong_t|현재 이 마을은 그 누구의 영지로도 속해 있지 않습니다.
qstr_The_village_is_infes|지금 마을을 {s35} {reg8}명이 약탈하고 있습니다.
qstr_The_village_has_been|마을이 약탈당했습니다. 당신은 불탄 집들의 흔적을 바라보며 마음이 찢어지는 것 같은 기분을 느꼈습니다.
qstr_The_village_is_being|지금 마을이 습격받고 있습니다.
qstr_{s10}_{s12}^{s11}{s6|{s10} {s12}^{s11}{s6}{s7}{s15}
qstr_No_one_here_seems_to|아무도 당신의 부대에 합류하려고 하지 않았습니다.
qstr_Try_as_you_might_you|당신은 도적들을 막으려고 시도했지만, 당신의 힘으로는 도저히 도적들을 막을 수 없었습니다. 도적들은 격노했고, 그들은 본보기로 마을 농민들을 전부 잡아 죽인 뒤, 마을을 완전히 불태우고 철저하게 약탈한 뒤 떠났습니다.
qstr_castle|요새
qstr_The_{s17}_has_no_imp|{s17}에는 개선된 시설이 없습니다.
qstr_The_{s17}_has_the_fo|{s17}이(가) 갖추고 있는 시설은 다음과 같습니다: {s18}.
qstr___Christian_riots_co| (기독교도들이 폭동을 일으킴: 관계 {reg33} 감소 )
qstr___Pagan_riots_could_| (이교도들이 폭동을 일으킴: 관계 {reg33} 감소)
qstr_Your_enemies_beat_yo|당신의 적들은 당신이 죽은 줄 알았고, 당신을 버려두고 떠났습니다.
qstr_You_have_fallen._You|당신은 운이 좋았습니다. 당신의 적들은 당신의 품을 뒤져 돈이 될만한 것들을 찾기 위해 다가왔고, 그들은 밤까지 물건들을 찾다가 사라졌습니다. 당신은 그들에게 간신히 틀키지 않을 수 있었습니다.
qstr_Luckily_some_of_your|운 좋게도 당신의 동료들 중 일부는 잡히지 않았고, 당신이 길에 쓰러져 있는 것을 발견했습니다. 그들은 서둘러 당신을 안전한 장소로 옮기고 상처를 치료해 주었습니다.
qstr_Luckily_some_passing|운 좋게도 지나가던 도시 사람이 당신이 길에 쓰러져 있는 것을 발견했다, 그리고 그들은 당신이 단순한 거지가 아닌 것을 알아챘고. 그들은 서둘러 당신을 안전한 장소로 옮기고 상처를 치료해 주었습니다.
qstr_Going_through_the_ba|당신은 이 도적들을 죽인 다음, 피로 얼룩져 있는 더러운 암살 쪽지 지령 하나를 발견했습니다. 그 쪽지에는 당신을 암살하라는 지령과, '{s3}에서 만나도록 하지.'라는 말이 적혀 있었습니다.
qstr_Your_efforts_prove_s|당신의 노력이 성공했음을 증명하듯, 많은 사람들이 당신의 종교로 개종했습니다.
qstr_Your_efforts_to_conv|사람들을 개종시키려는 당신의 노력은 비참하리만큼 실패했습니다.
qstr_You_fail_to_steal_an|당신은 단 한마리의 소도 훔칠 수 없었습니다.
qstr_You_drive_away_{reg1|당신은 마을의 소 떼에게서 {reg17}마리의 소를 훔쳤습니다.
qstr_People_aren_t_very_h|그들은 당신이 자신들의 영주인 것을 불만스러워합니다.
qstr_^This_town_is_a_bast|^이 도시는 당신이 믿는 신앙의 보루입니다.
qstr__As_you_reach_the_sett| 이 요새와 주변의 땅들은 당신에게 속해 있습니다.
qstr_{s11}^{s15}|{s11}^{s15}
qstr__As_you_reach_the_settl| 당신은 이 요새와 주변의 땅들이 {s7}에게 속해 있음을 알아야만 합니다.
qstr__This_fort_seems_to_| 현재 이 요새는 그 누구의 영지로도 속해 있지 않습니다.^{s15}
qstr_You_are_greeted_by_m|이 도시와 주변의 땅들은 당신에게 속해 있습니다.^{s15}
qstr_You_are_greeted_by_me|당신은 이 도시와 주변의 땅들이 {s7}에게 속해 있음을 알아야만 합니다.^{s15}
qstr__This_town_seems_to_| 현재 이 도시는 그 누구의 영지로도 속해 있지 않습니다.^{s15}
qstr__You_have_successful| 당신은 잠입하는 데 성공했습니다.
qstr_{s13}_A_tournament_w|{s13} 지금 이 곳에서는 경기가 열리고 있습니다.
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
qstr_An_expensive_horse_i|당신은 승리에 대한 보상으로 고가의 말을 수여받았습니다.
qstr_A_fat_cow_is_awarded|당신은 승리에 대한 보상으로 살찐 소를 수여받았습니다.
qstr_You_are_given_a_beau|당신은 승리에 대한 보상으로 영주들이 입는 아름답게 장식된 갑옷을 수여받았습니다.
qstr_They_give_you_a_fine|당신은 승리에 대한 보상으로 귀족들이 쓰는 고급스러운 검을 수여받았습니다.
qstr_They_appreciate_your|그들은 당신에게 경기를 빛내 주어서 고맙다는 말을 전했고, 그러나 그들은 당신에게 제공할 수 있는 좋은 보상이 없음을 사과했습니다.
qstr_Moreover_you_earn_{r|또한, 당신은 스스로에게 돈을 걸었고, {reg8} 페닝을 당신의 자금에 더할 수 있었습니다.
qstr_Victory_is_yours!_Yo|당신은 승리했습니다! 당신은 이 경기에서 이겼습니다, 이제 다음 라운드를 위해 준비해야만 할 것입니다.
qstr_You_have_been_bested|당신은 이 경기에서 패배했습니다, 하지만 관리인은 그와 관중들이 당신의 용기와 기술에 감탄했음을 선언했고, 당신이 다음 라운드에 출전할 수 있도록 해 주었습니다.
qstr_You_were_beaten._The|당신은 쓰러졌습니다. 농부는 그의 공격에 자신감을 얻었습니다, 하지만 당신은 그 농부에게 가르치려고 했던 것들을 제대로 이해시키지 못했습니다.
qstr_After_beating_your_l|마지막 농부를 쓰러뜨린 후, 당신은 농부에게 간단한 호신술과 무기를 사용하는 요령에 대해 가르쳐 주었습니다. 다행스럽게도 그들은 이해했고, 다음에는 스스로를 지킬 수 있을 것입니다.
qstr_The_bandits_are_brok|도적들은 와해되었습니다! 도적들 중 몇 명만이 단지 살아남을 수 있었고, 농부들과 그들의 새로운 챔피언에 대해 겁에 질린 채로 빠르게 달아났습니다.
qstr_Can_t_merge_both_fle|당신의 해상 지휘력은 두 함대를 통합할 수 있을만큼 높지 않습니다.
qstr_Can_t_merge_both_flee|함대의 규모가 너무 커서 두 합대를 통합할 수 없습니다. 함대의 최대 규모는 배 7척 입니다.
qstr_Fleets_merged.|함대가 합쳐짐
qstr_The_trader_you_are_e|당신이 호위하는 상인들은 페리를 사용하지 않습니다.
qstr_The_ferry_station_is|페리 승강장이 너무 작아, 당신과 당신의 병력들을 모두 수송할 수 없습니다.
qstr_You_can_t_enter_the_|이 도시는 당신을 환영하지 않으며, 그들은 당신이 항구에 입항하는 것을 막았습니다.
qstr_You_can_t_enter_the_p|이 도시는 당신을 환영하지 않으며, 그들은 당신이 항구에 입항하는 것을 막았습니다. 또한 이 도시는 바다에서 공격하는 것이 불가능한 장소입니다.
qstr_You_can_t_enter_the_po|당신은 항구에 입항할 수 없었습니다. 이 항구에는 이미 당신의 선박이 있고, 당신의 해상 지휘력은 현재 당신이 지휘하는 선박들에 그들을 합류시킬 만큼 높지 않습니다.
qstr_You_can_t_enter_the_por|당신은 항구에 입항할 수 없었습니다. 이 항구에는 이미 당신의 선박이 있고, 당신은 7척 이상의 함대를 지휘하는 것이 불가능하기 때문에, 현재 당신이 지휘하는 선박들에 그들을 합류시킬 수 없습니다.
qstr_You_already_have_a_f|이 항구에는 이미 당신의 선박이 입항해 있습니다. 선박을 당신이 지휘하는 함대에 합류시킬 것입니까?
qstr_Unfortunately_{reg3?|불행하게도, {reg3?당신은:{s1}은(는)} 이익이 될 만한 상품을 찾을 수 없었습니다.
qstr_^Buying_{s4}_here_an|^{s4}을(를) 이 곳에서 구매해, {s5}에 판매한다면 한 상자당 {reg6} 페닝만큼의 이익을 얻을 수 있을 것입니다.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?당신은:{s1}은(는)} 다음과 같은 정보를 알아낼 수 있었습니다:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{s1} {reg1}명은 {reg0}만큼의 경험치를 얻었습니다.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}은(는) 추가적으로 {reg0}만큼의 경험치를 얻었습니다.
qstr_^You_earned_{reg0}_e|^당신은 {reg0}만큼의 경험치를 얻었습니다.{s2}
qstr_The_training_didn_t_|훈련의 성과가 전혀 없었습니다.
qstr_The_training_didn_t_g|훈련의 성과가 별로 없었습니다.
qstr_The_training_went_qu|훈련의 성과가 그럭저럭 되었습니다.
qstr_The_training_went_ve|훈련의 성과가 제법 잘 되었습니다.
qstr_The_training_went_pe|훈련의 성과가 완벽하게 되었습니다.
qstr_You_fall_on_the_grou|당신은 여러 상처들을 입었습니다. 시간이 지날 때마다 당신의 심장이 느려지고 시야가 흐려지는 것 같았습니다. 이 전투는 당신에게는 너무 벅찼고, 당신은 죽음에 다가서고 있었습니다.^^당신은 죽어가는 동안, 세상의 많은 사람들 중에 한 사람이라도 당신의 이름을 기억해 주었으면 좋겠다고 생각하고 있었습니다.
qstr_After_losing_the_sea|해전에서 패배한 뒤, 당신은 당신의 모든 선박과 선원들을 잃었고, 당신은 선박의 잔해 중 하나를 붙잡고 바다에 표류하고 있었습니다. 그리고 곧 지나가던 어부들이 당신을 발견했고, 근처의 도시로 당신을 데려다 주었습니다.
qstr_Your_enemies_take_yo|적은 당신을 포로로 잡았습니다.
qstr_{s13}_asked_you_to_r|{s13}은(는) 당신이 적어도 {reg13}명의 병력을 이끌고 와서 합류하기를 원하고 있습니다.
qstr_{s13}_ordered_you_to|{s13}은(는) 당신에게 {s14} 공성전에 참전하라고 명령했습니다.
qstr_Kingdom_Fails_to_Res|왕국은 국지적 도발에 응하지 않았습니다: {s1}은(는) {s2}의 국지적 도발에 응하지 않았고, {s3}은(는) {reg4?그녀:그}의 호전적인 봉신들로 인해 체면을 구겼습니다.
qstr_There_has_been_an_al|국경 분쟁이 일어나고 있는 지역: {s9}
qstr_There_has_been_an_all|국경 분쟁이 일어났습니다: {s4}은(는) 이 명분을 통해 {s3}에게 전쟁을 선포할 수도 있습니다.
qstr_Border_incident:_Wor|국경 분쟁: {s9}에 대한 소식은 당신에게까지 들어왔습니다. 당신은 이 일이 사실일지는 모르지만, 겉보기에는 사소해보이는 사건이 {s4}의 사람들이 {s3}와(과)의 전쟁을 일으킬 수도 있다는 것을 잘 알고 있습니다.
qstr_The_great_lords_of_y|The great lords of your kingdom plan to gather at the great hall of {s15} in {s10} for a feast{***}
qstr_^{s64}^|^{s64}^
qstr_^^Note_that_as_long_|^^당신이 오랫동안 총사령관으로 남아 있을 경우, 왕국의 영주들은 당신이 군사 작전을 주도하기를 원할 것입니다. 만약, 당신이 결혼이나 여타 다른 이유로 연회를 기다리고 있다면, 당신의 왕에게 총사령관의 자리에서 사임하겠다고 말해야 할 것입니다.
qstr_Strange..._You_ve_be|이상했습니다... 당신은 악몽을 꿨지만, 그 악몽의 어떤 내용도 기억나지 않았습니다. 당신이 확실하게 기억하는 것은 바이킹 전사들이 오딘 릭에 뛰어들어 올라타, 오딘 릭의 선장과 선원들의 몸에 무기를 들이댔고, 보도, 그 칸타브리아인이 궁지에 몰린 사자처럼 자신의 몸을 지키고 있었던 것을 기억할 수 있었고. 당신은 당신의 기억 속에서 그의 말을 들을 수 있었습니다. '{playername}! 싸웁시다! 우리 같이 저들에 맞서 싸웁시다!'^^당신은 죽음을 기억했습니다 -- 당신의 죽음 -- 당신의 적들이 당신을 죽였습니다. 당신은 당신의 몸이 강한 타격을 입고 보트의 차가운 나무 바닥에 쓰러지는 것을 느꼈고, 마지막으로 세상을 떠나기 전에 주마등처럼 기억이 떠오르기 시작했습니다. 당신은 죽기 전에, 어머니를 마지막으로 바라보았습니다. 그리고 거대한 바이킹 남자가 어머니에게 무기를 휘두르는 것을 보았습니다. -- 그가 바로 스벤인 것일까? -- 그는 창으로 당신의 어머니의 머리를 강타해 쓰러뜨린 다음, 그녀의 몸을 옆으로 내동댕이쳤습니다.^^당신의 혈흔은 곧 물고기들을 불러올 것이고, 당신은 물고기 밥이 될 것이었습니다. 그리고 아무도 당신을 기억하지 않을 것입니다.^^당신은 죽은 것입니까? 하지만 당신이 죽었을 경우, 어째서 당신의 근육에서 아픈 통증이 느껴지고, 어째서 자신의 몸에서 나오는 불같은 열기를 느낄 수 있는 것입니까? 어떻게 당신이 손에 힘을 주어 꽉 쥘수 있고, 눈을 뜨고 방의 천장을 볼 수 있는 것입니까?^^당신은 살아있었습니다. 누군가가 당신을 살린 것입니다. 누가? 왜? 어떻게?
qstr_It_is_night_and_the_|지금은 밤이 깊었고, 수도원은 조용해 보입니다.
qstr_The_monks_bless_you_|수도사가 당신을 축복했고, 당신은 제 갈 길로 떠났습니다.
qstr_You_don_t_have_enough_|당신은 이 장소를 습격하기 위해 필요한 병력이 충분하지 않습니다.
qstr_You_need_to_have_more_m|당신은 더 많은 병력을 필요로 합니다.
qstr_It_is_night_and_the_h|야심한 밤, 선술집은 조용한 것 같습니다.
qstr_The_gothi_has_sacrif|고디는 당신을 대신해 신들을 달래기 위해 동물을 희생 제물로 바쳤습니다.
qstr_You_are_now_a_pagan_a|당신은 이제 이교도이고, 오딘과 여타 북구 신들의 추종자입니다.
qstr_The_majority_of_your|당신을 따르는 병력 대부분은 이교도이고, 그들은 당신의 행동을 지지하고 있습니다.
qstr_The_majority_of_your_|당신을 따르는 병력 대부분은 그리스도인이고, 그들은 당신의 행동을 증오하고 있습니다.
qstr_In_the_arms_of_the_d|당신의 병력들은 죽은 원장의 시체의 손에 '콜룸 카일의 시편'이 쥐어져 있는 것을 발견했습니다.
qstr_The_majority_of_your_t|당신을 따르는 병력 대부분은 그리스도인이고, 그들은 당신의 행동을 지지하고 있습니다.
qstr_The_majority_of_your_tr|당신을 따르는 병력 대부분은 이교도인이고, 그들은 당신의 행동을 증오하고 있습니다.
qstr_{s3}_is_in_danger._S|{s3}은(는) 위험에 처했습니다. 황소목 스벤의 공격으로부터 마을이 파괴되기 전에, 마을을 지켜야만 합니다! 당신은 바이킹들을 격퇴하기 위해 충분한 수의 병력이 필요할 것입니다!
qstr_Return_to_{s3}_and_i|{s3}(으)로 돌아간 뒤, 포로를 심문해야만 합니다.
qstr_Return_when_you_have|당신은 45명만큼의 병력만을 데려올 수 있습니다.
qstr_You_have_saved_{s3}.|당신은 {s3}을(를) 지켰습니다. 어쩌면, 지금이 바로 {s9}에게 가서 스벤을 잡기 위한 그의 도움을 요청할 수 있는 절호의 기회일지도 모릅니다.
