str_yes|네.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9}은(는) 지금 {s11}와(과) 약혼했고, 나는 곧 그들이 결혼할 것이라고 믿고 있네.
str_i_have_not_heard_any_news_about_her|나는 그녀에 대한 어떠한 새로운 소식도 듣지 못했네.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|그들이 말하길 {s9}은(는) {s11}에게 호의적으로 보인다고 말하더군. 아마도 그녀 가족이 허락만 한다면 그들은 오래 가지 않아 약혼할 것 같네.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|그들이 말하길 {s9}은(는) 그녀의 가족들로부터 {s11}와(과) 약혼하도록 압력을 받고 있다고 하네.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|그들이 말하길 {s9}은(는) {s11}의 구애를 받아들였다고 하네. 그리고 둘은 현재 약혼했네.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|그들이 말하길 {s9}은(는) 그녀의 가족들의 압력 아래서, {s11}와(과)의 약혼에 동의했다고 하네.
str_they_say_that_s9_has_refused_s11s_suit|그들이 말하길 {s9}은(는) {s11}의 구애를 거절했다고 하네.
str_they_say_that_s11_has_tired_of_pursuing_s9|그들이 말하길 {s11}은(는) {s9}의 마음을 얻으려하고 있다는군.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|그들이 말하길 {s9}의 가족이 그녀에게 그녀가 몹시 사랑하는 남자인 {s11}에 대한 마음을 단념하도록 강요받고 있다고 하오.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|그들이 말하길 그녀의 가족에 대한 반대가 심한 나머지 {s9}이(가) {s11}와(과) 사랑의 도피를 했다는 말이 있소.
str_they_say_that_s9_and_s11_have_wed|그들이 말하길 {s9}와 {s11}가 결혼을 했다더군.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|그들이 말하길 {s9}이(가) 최근 {s11}의 방문을 받았다고 하더군. 어디서 만났는지 누가 알겠소?
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|내가 말할만한 소식이 없군, 그러나 이건 아직 너무 이른 시기라 그렇소.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12} {s3}의 {s4}에서 연회가 진행되고 있소, 그러나 연회는 이미 몇일 동안이나 진행되었고 곧 끝날 것이오.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12} {s3}의 {s4}에서 연회가 진행중이고, 연회는 최소한 몇일 후에나 끝이 날 것이오. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12} {s3}의 {s4}에서 연회가 진행중이며, 연회는 이제 막 시작했소. 
str_not_at_this_time_no|지금은 없군요.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12} 위대한 영주들은 그들의 딸과 자매을 이런 기회에 데려와 보기도 보여주기도 하는데, 이는 그들에게 귀부인의 지인을 만드는 훌륭한 기회라는데 의미가 있소.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|실망하실 필요 없다, {reg59?부인:경}. 당신은 우리보다 더 훌륭한 전사를 찾지 못할 거요.
str_your_excellency|전하
str_s10_and_s11|{s10} 그리고 {s11}
str_your_loyal_subjects|당신의 충성스러운 백성
str_loyal_subjects_of_s10|{s10}의 충성스러운 백성
str_the|그
str_we|우리
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|{s11}이내에 {s7}을 찾아 그를 패배시켜, 전쟁의 불씨를 제거해야 합니다.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|{s8}의 근처에서 여행자들을 공격한 {s9}을 추적한 후에, 도시로 돌아가서 보고합니다.
str_do_you_wish_to_award_it_to_one_of_your_vassals|당신은 당신의 봉신 중 한 명에게 이 것을 주기 원합니까?
str_who_do_you_wish_to_give_it_to|누구에게 이것을 줄 것인가?
str_sire_my_lady_we_have_taken_s1_s2|{reg59?아가씨:경},우리가 {s1}을 점령했소. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}나는 {s1}을 내가 가질 것이네. {s2}
str_fiefs_s0|(영지: {s0})
str_production_setting_buy_from_market|우리는 원자재를 시장에서 구매하고 있소.
str_production_setting_buy_from_inventory|우리는 창고에 재고가 남은 원자재만 사용하고 있소.
str_production_setting_produce_to_inventory|우리는 우리의 생산품을 창고의 재고 품목에 놓고 있소.
str_production_setting_produce_to_market|우리는 생산품을 재고 품목에서 거내어 바로 판매하고 있소.
str_feast_quest_expired|당신은 연회를 계획대로 열지 못했습니다. 아마도, 중요한 왕국의 군사 작전이 다른 행사를 방해한 것 같습니다. 만약 당신이 원한다면 다시 연회를 개최할 수 있습니다.
str_amber_riverbeds|해변과 황토로 된 강바닥
str_hunting_forests|사냥을 위한 숲과 숲지기의 집
str_acres_flax|에이커의 아마밭
str_enterprise_enemy_realm|{reg59?부인:경}, 당신은 이 왕국의 적이오. 우리는 당신이 이 곳에 땅을 사는 것을 허락할 수 없소.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|당신은 {s12}의 이익을 위해 {s13}에게 {s14}를 몰래 비난할 계획입니다.
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|당신은 {s12}의 이익을 위해 {s14}의 면전에서 공개적으로 비난할 계획입니다.
str_you_intend_to_bring_gift_for_s14|당신은 벨벳과 모피를 {s12}에게 가져갈 계획입니다. 그 후에, 만약 {s12}이 화해할 것 같아 보인다면 {s14}와(과) 대화해야 할 것입니다.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|우리는 군사를 모을 것이오, 허나 명확한 목표가 생기기 전까진 출병하지 않을 것이오.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|우리는 그들의 가장 취약한 요새에 병력을 집중하고 있소.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|우리는 적에게 가장 큰 피해를 줄 수 있는 공격을 할 것이오.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|우리는 방어에 유리한 성채들부터 점령할 것이오.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|우리는 적이 전장으로 나올 떄까지 주변의 비옥한 토지를 약탈할 것이오.
str_strategy_criticism_rash|내 생각에 그 작전은 약간 무모한것 같소. 또한 우리 군은 불필요한 위험에 노출될 것이오.
str_strategy_criticism_cautious|내 생각에 그 작전은 지나치게 신중해서, 아군은 그 어떤 성취도 없이 지루함에 녹아버릴 것만 같소.
str_tavernkeeper_invalid_quest| 이(가) 어떤 일을 가지고 있지만, 그 세부적인 내용까지 기억하지는 못하는 것 같소.
str_faction_title_male_player|영주 {s0}
str_faction_title_male_1|영주 {s0}
str_faction_title_male_2|영주 {s0}
str_faction_title_male_3|호족 {s0}
str_faction_title_male_4|수령 {s0}
str_faction_title_male_5|영주 {s0}
str_faction_title_male_6|토후 {s0}
str_faction_title_female_player|부인 {s0}
str_faction_title_female_1|귀부인 {s0}
str_faction_title_female_2|귀부인 {s0}
str_faction_title_female_3|귀부인 {s0}
str_faction_title_female_4|귀부인 {s0}
str_faction_title_female_5|귀부인 {s0}
str_faction_title_female_6|귀부인 {s0}
str_name_kingdom_text|당신의 왕국의 이름을 정해주세요.
str_default_kingdom_name|{s0}의 왕국
str_lord_defects_ordinary|영주 망명^^{s1}는 {reg4?그녀의:그의} {s3}에 대한 충성 서약을 철회하고, {s2}에 망명했습니다.
str_lord_defects_player|영주 망명^^{s1}는 {reg4?그녀의:그의} {s3}에 대한 충성 서약을 철회했습니다. 그는 잠정적으로 당신의 왕국에 합류했습니다. 당신이 원한다면 충성 서약을 받을 수 있습니다.
str_lord_defects_player_faction|영주 망명^^{s1}는 {reg4?그녀의:그의} {s3}에 대한 충성 서약을 철회했습니다. 그는 잠정적으로 당신의 왕국에 합류했습니다. 당신이 원한다면 충성 서약을 받을 수 있습니다.
str_lord_indicted_player_faction|{s6}의 명령으로, {s5}의 {s4}이(가) 반역죄로 기소당했다. {s4}은(는) {reg4?그녀의:그의} 모든 재산과 영지를 몰수당했고, {reg4?그녀:그}는 목숨을 부지하기 위해 다른 국가로 망명했습니다. 그는 당신의 왕국에 합류하길 원합니다. 만약 당신이 원한다면 당신의 궁정에서 그를 만나 {reg?그녀의:그의} 충성 서약을 받을 수 있을 것입니다.
str_lord_indicted_dialog_approach|안녕하십니까, {reg59?부인:경}. 내가 {s10}에게서 푸대접을 받았다는 것을 들으셨는지 모르겠소. 당신는 당신의 봉신을 후하게 다룬다는 평판을 가지고 있소. 만약 당신이 나를 받아 들인다면, 나는 나 스스로 당신의 봉신으로 맹세하는 것을 영광으로 생각할 것이오.
str_lord_indicted_dialog_approach_yes|그렇다면 당신의 서약을 허락할 수 있어 영광이오.
str_lord_indicted_dialog_approach_no|미안하네. 그대의 서약은 필요 없네.
str_lord_indicted_dialog_rejected|정말이시오? 좋소, 아무래도 당신의 평판은 잘못된 것 같소, {reg59?아가씨:경} -- 나는 내 진가를 알아보는 통치자를 찾아봐야겠소.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home|도적들이 그의 영지 근처에 은거지를 세우고 있어 걱정하고 있소
str_bandit_lair_quest_description|{s9}을 찾아 파괴한 뒤, {s11}에게 돌아가 보고합니다.
str_reveal_ass|누군가가 당신을 암살하려고 시도했습니다, 당신은 {s3}에서 암살자와 접촉했던 자를 찾을 수 있을 것입니다.
str_reveal_ass2|암살을 지시한 연락처에서 당신은 음모의 배후에 위치한 영주를 찾았습니다 - 그는 {s9}입니다. 이제 그와 직접 대면할 시간입니다.
str_bandit_hideout_preattack|당신은 은거지에 다가갔습니다. {s4}들은 아직 당신을 발견하지 못한 것 같았고, 당신은 계속 들키지 않고 숨어들어갈 수 있었습니다. 접근하기 어려운 장소-- {s5} --는 당신의 부대에서 소수의 병사들만이 공격에 가담할 수 있음과, 그들의 말을 데려갈 수 없음을 의미했습니다. 만약 당신의 첫 공격이 실패하면, {s4}들은 쉽게 도망치고 흩어질 수 있을 것입니다. 당신은 은거지를 공격할 것입니까, 아니면 다른 기회를 기다릴 것입니까?
str_bandit_hideout_failure|{s4}들은 당신의 공격을 격퇴했습니다. 그들이 주변의 마을로 흩어져서 사라져버렸기 때문에 당신은 병력을 재편성하고 다시 진군하여 그들을 찾으려 했지만 찾지 못했고, 의심할 필요도 없이 그들은 계속 여행자들을 위협할 것입니다
str_bandit_hideout_success|그들의 퇴각은 차단되었고, 당신의 굳건한 공격 앞에 하나씩 쓰러져 나갔습니다. 그들의 은거지와, 그들이 부정하게 얻은 약탈품들은 이제 당신의 것입니다.
str_bandit_approach_defile|좁은 골짜기 길을 내려가야 하는
str_bandit_approach_swamp|소나무 습지을 지나야 하는
str_bandit_approach_thickets|빽빽한 덤불이 연속된 구간을 지나야 하는
str_bandit_approach_cliffs|절벽의 측면을 지나 올라야 하는
str_bandit_approach_cove|바다 절벽을 관통하여 잘린 개울 바닥을 내려가야 하는
str_political_explanation_lord_lacks_center|이번 경우는, 아무런 땅도 수입도 없는 영주에게 영지를 주어야 하오.
str_political_explanation_lord_took_center|이번 경우는, 요새를 점령한 사람에게 주어야 하오.
str_political_explanation_most_deserving_friend|이번 경우는 내 근처의 친구와 동료중 영지를 가장 받을 만한 사람으로 결정했소.
str_political_explanation_most_deserving_in_faction|이번 경우는 왕국 내 영주들 중 영지를 가장 받을 만한 사람으로 결정했소.
str_political_explanation_self|I다른 깨끗한 후보가 없기에, 나는 나 자신을 지명하오.
str_political_explanation_marshal|그는 내가 아는 귀족들중 가장 용감하고, 내가 신뢰할 수 있으며, 그의 이름은 논쟁으로 더럽혀지지 않았기에 나는 그를 지지하겠소.
str_prisoner_at_large|그를 포로로 잡고 있던 이가 전투에서 패했소. 내 예상에 그 친구는 곧 다시 나타날 것이오.
str_quick_battle_scene_1|농가
str_quick_battle_scene_2|웨일즈인 마을
str_quick_battle_scene_3|톨북으로 가는 길
str_quick_battle_scene_4|톰 턴 버러
str_quick_battle_scene_5|스카게락
str_quick_battle_scene_6|북해
str_quick_battle_scene_7|켄네머 항구
str_quick_battle_scene_8|전투 화면 6
str_quick_battle_scene_9|전투 화면 7
str_quick_battle_scene_10|전투 화면 8
str_quick_battle_scene_11|전투 화면 9
str_quick_battle_troop_1|Bodo, servitor to the kings of Asturias, is on a secret mission to the lands of the north.(***)
str_quick_battle_troop_2|Sven, hersir in the service of Sigurd Snake-in-the-Eye, rides in the prow of his master's ship. He has a well-deserved reputation for ruthlessness and cruelty, running slaves and demanding protection money from Friese to Alba.(***)
str_quick_battle_troop_3|Cerball mac Dunlainge, head of one of the larger petty kingdoms in Ireland, has won independence from Munster through capable arms and even more capable playing of the various Goidelic (Irish) and Viking factions against one another. Now that he possesses riches and mercenaries from the Viking settlement at Waterford, will he become overlord of Ireland?(***)
str_quick_battle_troop_4|Artorius, a champion of Rhodri Mawr, helps his master to attempt once again to unify the factious Britons of Wales. It is not a project of expansion but survival against their ancient enemies, the Angles and Saxons, and now the new threat of Vikings.(***)
str_quick_battle_troop_5|Cinead is named after the chieftain who unified Alba after the old rival dynasties of the Picts and Dal Riata were virtually destroyed by Vikings in a three-way battle in 839. He is one of the few who retain the ancient tradition of horsemanship in these parts, fast-disappearing as the Vikings displace his people from the low-lying areas to the southwest.(***)
str_quick_battle_troop_6|Oswald is a thegn in the Saxon levy, commanding a large group of ceorls who rent his lands. While the glory goes to the kings, it is the solid officers like him that actually protect West Seaxe.(***)
str_quick_battle_troop_7|Hildr comes from a persistent tradition among Germanic peoples of women fighters, called skjaldmo, or shield maidens, by the Danes. Her comrades accept her none too grudgingly, as it is whispered she has harnessed the power of runes from wizards in far-off Finland.(***)
str_quick_battle_troop_cam|Watch the AI play the battle out. The camera uses the standard movement and rotation controls, plus F for up and V for down, +/- for zoom, Q to toggle follow terrain, numpad for game speed, mouse wheel for camera speed, arrow key rotation, Y to toggle invert y-axis, and R to toggle rotate-before-pan.(***)
str_strategy_cam|이 카메라는 플레이어를 따라다닙니다. F 키를 누르면 거리가 증가하고 V 키를 누르면 거리가 줄어듭니다. 줌은 +/- , 게임 속도는 Numpad, 카메라 스피드는 마우스 휠로 조절할 수 있습니다.(***)
str_tutorial_training_ground_intro_message|훈련소 주위를 걸어 보고, 다양한 전투방법을 연습하기 위해 전사들과 이야기해야 할 것이다. 당신은 ASDW 키들을 이용해 주위를 이동할 수 있다. 다른 인물들과 이야기를 하려면, 당신의 화면에 그의 이름이 나타날때 까지 그에게 다가가, F 키를 눌러라. 또한 당신은 F키를 이용해 아이템들을 주울 수 있으며, 문을 열거나 대상들과 상호작용할 수 있다. Tab 키를 누르면 당신이 원하는 언제라도 튜토리얼을 나갈 수 있다.
str_tutorial_doccinga_ground_intro_message|독싱가는 프리지아의 해변에 위치한 작은 어촌입니다. 이 곳의 사람들은 매우 근면하지만, 그들은 외지인들을 별로 환영하지 않습니다. 당신이 마을에 가면, 마을에서 벌어지는 많은 활동들을 둘러보는 것이 좋을 것입니다. 바쁘게 살아가는 주민들, 일부 전사들은 사람들 속에서 그들의 바다를 넘어서 모험을 준비하기 위해 전투 기술을 단련하고 있습니다. 아마도 당신은, 다양한 방법으로 전사들과 훈련할 수 있을 것입니다. (기억하세요: ASDW 키로 이동을 하고. 인물들과 대화하기 위해서는 그 인물들의 이름이 화면에 출력될 때까지 다가가, F 키를 누르세요. 당신은 F키를 눌러 물건을 집거나, 문을 열거나 상호 작용을 할 수 있습니다. TAB 키를 누르면 독싱가에서 나갈 수 있을 것입니다.)
str_map_basic|맵
str_game_type_basic|게임 타입
str_battle|전투
str_siege_offense|공성전 (공격)
str_siege_defense|공성전 (방어)
str_character|인물
str_biography|배경
str_player|플레이어
str_enemy|적
str_faction|세력
str_army_composition|군대 구성
str_army_size|군대 크기
str_reg0_men|{reg0}명
str_start|시작
str_i_need_to_raise_some_men_before_attempting_anything_else|나는 다른 행동을 하기 전에 병력들을 모을 필요가 있소.
str_we_are_currently_at_peace|우리는 현재 평화롭소.
str_the_marshalship|총사령관
str_you|당신
str_myself|나 자신
str_my_friend_s15|당신의 친구 {s15}
str_custom_battle|커스텀 배틀
str_comment_intro_liege_affiliated_to_player|자네는 왕위를 주장하는 나를 반대한다고 들었네. 두말 할 나위도 없이, 나는 그 소식이 기쁘지 않아. 그러나, 아직 우리는 대화할 여지가 남아 있다고 생각하네.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} {s8}은(는) 개인적 증오로 인해 전쟁을 선포하였습니다.
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} {s8}은(는) 국경 마찰로 인해 전쟁을 선포하였습니다.
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} {s8}은(는) 다른 세력의 힘을 억제하기 위해 전쟁을 선포하였습니다.
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} {s8}은(는) 잃어버린 영토를 되찾기 위해 전쟁을 선포하였습니다.
str_we_are_conducting_recce|우리는 먼저 그 지역을 정찰하고, 그 후에 무엇을 할지 결정하겠소.
str_center_party_not_active|은(는) 우리의 목표가 아니오. 왜냐하면 우리는 전장을 지휘할 지휘관이 없기 때문이오.
str_center_is_friendly|은(는) 우리의 적이 아닙니다.
str_center_is_already_besieged|은(는) 이미 포위되었습니다.
str_center_is_looted_or_raided_already|은(는) 이미 약탈되었습니다.
str_center_marshal_does_not_want_to_attack_innocents|은(는) 그 땅이 황폐해 졌을때 가장 슬퍼하게 될 평민들이 거주하는 곳이오.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|은(는) 이미 포위되었소. 그러니 다른 곳으로 가는 것은 기회를 놓치는 실수가 될 것이오.
str_center_we_are_already_here_we_should_at_least_loot_the_village|은(는) 우리 손 안에 있소. 우리는 그들의 부를 차지하고 그 곳을 황폐하게 만들 것이오.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|NOT USED
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|은(는) 정찰만 하기에도 너무 먼 것 같소만.
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|은(는) 정찰만 하기에도 너무 먼 것 같소만.
str_center_far_away_reason|{s6}은(는) {s5}보다 멀어서 점령 후에 지켜내기 힘들 것 같소.
str_center_closer_but_this_is_not_enought|{s6}은(는) {s5}보다 우리 국경에 가깝소만, 다른 연유로 하여 현재 {s6}을 공격하고 있지는 않소.
str_center_protected_by_enemy_army_aggressive| 은(는) 우리 부대보다 많은 수의 병력으로 지켜지고 있소.
str_center_protected_by_enemy_army_cautious| 은(는) 그저 승리에 대한 자신감만으로 공격하기에는 너무 강한 군사로 지켜지고 있소.
str_center_cautious_marshal_believes_center_too_difficult_to_capture|은(는) 많은 희생이 필요한 위험한 공성을 필요로 하오.
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|을(를) 점령하기에는 그곳의 방어가 너무 견고하오.
str_center_value_outweighed_by_difficulty_of_capture|은(는) 공격의 어려움을 정당화할만큼 충분한 가치가 없소.
str_center_value_justifies_the_difficulty_of_capture|은(는) 우리가 점령할 수 있고, 공격을 정당화시킬만큼 충분한 가치가 있소.
str_center_is_indefensible|은(는) 우리가 방어하고 있는 다른 요새와 너무 멀리 떨어져 있소.
str_we_are_waiting_for_selection_of_marshal|우리는 총사령관의 선택을 기다리고 있소.
str_best_to_attack_the_enemy_lands|우리의 군세를 감안할때, 적의 땅을 공격하는 것이 가장 좋은 방법이라 믿고 있소.
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|우리는 그 요새를 점령하기 위해 노력할 만한 가치가 있다고 믿고 있소.
str_we_will_gather_to_defend_the_beleaguered_fortress|우리는 포위된 요새를 방어하기 위해서 모일 것이오.
str_the_enemy_temporarily_has_the_field|적은 일시적으로 야전에서 우위에 있소. 따라서 우리는 이 공격이 끝날 때까지 피할 곳을 찾아야 하오.
str_center_has_not_been_scouted|은(는) 최근 우리 군대가 정찰 하지 못했소. 그러나 우리는 거기로 갈것이고, 그 근처에 갔을때 우리가 어떻게 해야 할지 결정했소.
str_we_have_assembled_some_vassals|우리는 몇몇 봉신들로 조직되어 있지만, 적들의 영토로 들어가는 모험을 하기까지 좀 더 기다려야 하오.
str_we_are_waiting_here_for_vassals|우리는 봉신들이 합류해오길 기다리고 있소.
str_we_are_travelling_to_s11_for_vassals|우리는 {s11}(으)로 이동하고 있소, 그렇게 해서 우리가 더 멀리 가기 전에 봉신들이 좀 더 쉽게 우리의 주인에게 합류할 것이오.
str_center_strength_not_scouted|우리는 최근 그곳을 정찰하지 못했소. 그래서 그곳의 방어가 얼마나 견고 한지 알지 못하고 있소.
str_center_strength_strongly_defended|우리는 그곳이 견고하게 방어되고 있다고 믿고 있소.
str_center_strength_moderately_defended|우리는 그곳이 적당히 잘 방어되고 있다고 믿고 있소.
str_center_strength_weakly_defended|우리는 그곳의 방어가 허술 할것이라 믿고 있소.
str_center_distant_from_concentration|은(는) 적의 본대보다 우리에게 가까이 있는다는 것을 알아냈소. 그들이 호응하기 전에 공격해 섬멸할 수 있을 것이오.
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|이보게, 자네는 우리가 훈련하기 전에 자네는 어떤 무기라도 필요하다는 생각이 안드나? 저기 여분의 무기들이 있을 걸세. 가서 아무거나 하나 가져오게.
str_tutorial_training_ground_warning_shield|자네는 먼저 방패를 내려놓는게 필요하네. 마우스 휠을 아래로 스크롤하면 자네의 방패를 내려 놓을 수 있네.
str_tutorial_training_ground_warning_melee_with_parry|이 연습을 위해서는 자네는 근접 무기를 사용해야 하네.
str_tutorial_training_ground_warning_melee|무기를 착용하려면 자네의 마우스 휠을 위로 스크롤 하게. 위로 스크롤 하면 다음 무기를 착용하고, 아래로 스크롤 하면 다음 방패를 착용하게 되네.
str_tutorial_training_ground_attack_training|성공적으로 공격한 수: {reg0} / 5^실패한 공격 수: {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|찌르기 공격을 하시오! (왼쪽 마우스 버튼을 누른 동안 당신의 마우스를 아래로 움직여라)
str_tutorial_training_ground_attack_training_up|내려찍기 공격을 하시오! (왼쪽 마우스 버튼을 누른 동안 당신의 마우스를 위로 움직여라)
str_tutorial_training_ground_attack_training_left|왼쪽으로 공격하시오! (왼쪽 마우스 버튼을 누른 동안 당신의 마우스를 왼쪽으로 움직여라)
str_tutorial_training_ground_attack_training_right|오른쪽으로 공격하시오! (왼쪽 마우스 버튼을 누른 동안 당신의 마우스를 오른쪽으로 움직여라)
str_tutorial_training_ground_parry_training|성공적으로 쳐낸 수: {reg0} / 5
str_tutorial_training_ground_chamber_training|방어에 성공한 횟수: {reg0} / 5
str_tutorial_training_ground_archer_training|명중한 횟수: {reg0} / 3^{s0}
str_tutorial_training_ground_ammo_refill|당신의 화살이 튜토리얼을 위해 보충되었습니다.
str_tutorial_training_ground_archer_text_1|{s0} 앞으로 다가가서 F 키를 눌러 집으세요.
str_tutorial_training_ground_archer_text_2|타겟을 향해 발사하라.
str_tutorial_training_ground_archer_text_3|목표 조준선의 크기는 당신의 정확도를 가리킵니다. 조준선의 크기가 최소화될 때까지 마우스 왼쪽 버튼을 누르고 있어야 할 것입니다. 조준선이 가장 작을 때 왼쪽 마우스 버튼을 놓으십시오. 만약 당신이 너무 오랫동안 기다린다면 조준선은 다시 커질 것입니다.
str_tutorial_training_ground_archer_text_4|R 키를 누르면 1인칭 시점으로 볼 수 있습니다. 1인칭 시점은 원거리 무기를 보다 더 쉽게 조준할 수 있게 해 줍니다.
str_tutorial_training_ground_archer_text_5|모든 목표물을 맞췄습니다. 훈련 교관과 다시 대화하세요.
str_tutorial_training_ground_horseman_text_1|{s0} 근처로 가서 F 키를 눌러 집으세요.
str_tutorial_training_ground_horseman_text_2|말에게 다가가서 F 키를 눌러 탑승하세요.
str_tutorial_training_ground_horseman_text_3|다음 지점으로 이동하세요.
str_tutorial_training_ground_horseman_text_4|다음 모형을 목표로 하여 그것을 강타하세요!
str_tutorial_training_ground_horseman_text_5|궁술 훈련 목표물을 조준하고 맞추세요!
str_tutorial_training_ground_horseman_text_6|연습을 성공적으로 마쳤습니다. 지금 훈련 교관에게 돌아가 대화하세요.
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|당신 왕국의 위대한 영주들이 연회를 위해 {s10}의 당신의 회당에 모일 예정입니다
str_your_previous_court_some_time_ago|당신이 소유한 이전의 궁정,
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|당신의 궁정으로 사용할 수 있는 요새를 탈환하기 위해 기다리는 중이오.
str_but_if_this_goes_badly| 나는 당신의 조언에 충분한 가치가 있다고 보고 있소. 그러나 만약 그 내용이 틀린 것이라면, 나는 당신에게 책임을 물을 것이오.
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm| 나는 당신이 {s4}와 좋은 관계에 있다는 것을 알고 있소. 그러나 이 일을 받아들이는 것이 모두를 위해서도, 왕국을 위해서도 더 좋은 일일 것이오.
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more|나는 당신이 {s4}와 좋은 관계에 있다는 것을 알고 있소 -- 그러나 당신이 그를 공격하는 것은 단지 당신에게 고난이 가중되는 것이라는 것을 기억하시오!
str_killed_bandit_at_alley_fight|그 상인은 당신을 그의 집으로 데리고 갔다. 일단 안으로, 그는 문 주변과 거리를 확인하고, 마침내 미행되지 않는다고 확신하고 조용히 당신한테 말하는데....
str_wounded_by_bandit_at_alley_fight|당신은 쓰러졌다. 그러나, 당신은 의식을 잃기전, 함성과 달려오는 소리를 들었씁니다... 당신은 깨어나 건물안에서 다쳤지만 살아있는 당신 자신을 발견했다.
str_cannot_leave_now|지금은 이 곳에서 떠날 수 없다.
str_press_tab_to_exit_from_town|Tab 키를 눌러라. 게임 내에서 TAB 키로 어떤 내부 공간이든 빠르게 빠져나올 수 있다.
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|{s9}의 근처에 있는 도적들의 은신처를 찾고, {s10}의 동생을 구출하십시오.
str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|{reg59?아가씨:경} -- 내가 당신을 신임하길 바란다면 조금 서두를 필요가 있소. 가서 지원자들을 더 찾으시오. 나는 우리에게 주어진 시간이 얼마인지 확신할 수 없소.
str_you_need_more_men_sir_my_lady|이보시오 -- 당신은 더 많은 사람이 필요하오. 지금 당신 부대에는 {reg0}명 뿐이오. 만약 당신이 너무 적은 인원으로 그들을 공격한다면 스스로 족쇄를 차고 그들의 은신처를 발견한거요. 그리고 그것은 우리의 계획이 아니오. 그런 위험을 감수하지 마시길 바라오. 나가서 마을들을 방문해 더 많은 지원자를 찾으시오. 그리고 그때 당신은 그들에게 보수를 지불해야하오.
str_good_you_have_enough_men|좋소, 좋아. 잘했소. 당신은 충분한 인원을 모았소. 이제 나가서 한무리의 도적 떼를 쓰러뜨리고 그들의 은신처를 당신이 어떻게 찾을수 있을지 말하게 만드시오.
str_do_not_waste_time_go_and_learn_where_my_brother_is|이보시오, {reg59?아가씨:경}. 시간이란 중요한 것이오. 지금, 당신이 내 동생을 그들이 어디에 숨겼는 지 찾아낸다면, 더욱 가치있게 될 것이오.
